PING 169.254.234.92 (169.254.234.92) 1460(1488) bytes of data.
1468 bytes from 169.254.234.92: icmp_seq=1 ttl=64 time=0.180 ms
1468 bytes from 169.254.234.92: icmp_seq=2 ttl=64 time=0.313 ms
1468 bytes from 169.254.234.92: icmp_seq=3 ttl=64 time=0.289 ms
1468 bytes from 169.254.234.92: icmp_seq=4 ttl=64 time=0.248 ms
1468 bytes from 169.254.234.92: icmp_seq=5 ttl=64 time=0.287 ms
1468 bytes from 169.254.234.92: icmp_seq=6 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=7 ttl=64 time=0.328 ms
1468 bytes from 169.254.234.92: icmp_seq=8 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=9 ttl=64 time=0.291 ms
1468 bytes from 169.254.234.92: icmp_seq=10 ttl=64 time=0.288 ms
1468 bytes from 169.254.234.92: icmp_seq=11 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=12 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=13 ttl=64 time=0.291 ms
1468 bytes from 169.254.234.92: icmp_seq=14 ttl=64 time=0.285 ms
1468 bytes from 169.254.234.92: icmp_seq=15 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=16 ttl=64 time=0.295 ms
1468 bytes from 169.254.234.92: icmp_seq=17 ttl=64 time=0.327 ms
1468 bytes from 169.254.234.92: icmp_seq=18 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=19 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=20 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=21 ttl=64 time=0.262 ms
1468 bytes from 169.254.234.92: icmp_seq=22 ttl=64 time=0.248 ms
1468 bytes from 169.254.234.92: icmp_seq=23 ttl=64 time=0.296 ms
1468 bytes from 169.254.234.92: icmp_seq=24 ttl=64 time=0.283 ms
1468 bytes from 169.254.234.92: icmp_seq=25 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=26 ttl=64 time=0.294 ms
1468 bytes from 169.254.234.92: icmp_seq=27 ttl=64 time=0.306 ms
1468 bytes from 169.254.234.92: icmp_seq=28 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=29 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=30 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=31 ttl=64 time=0.294 ms
1468 bytes from 169.254.234.92: icmp_seq=32 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=33 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=34 ttl=64 time=0.286 ms
1468 bytes from 169.254.234.92: icmp_seq=35 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=36 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=37 ttl=64 time=0.328 ms
1468 bytes from 169.254.234.92: icmp_seq=38 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=39 ttl=64 time=0.294 ms
1468 bytes from 169.254.234.92: icmp_seq=40 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=41 ttl=64 time=0.339 ms
1468 bytes from 169.254.234.92: icmp_seq=42 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=43 ttl=64 time=0.293 ms
1468 bytes from 169.254.234.92: icmp_seq=44 ttl=64 time=0.282 ms
1468 bytes from 169.254.234.92: icmp_seq=45 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=46 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=47 ttl=64 time=0.301 ms
1468 bytes from 169.254.234.92: icmp_seq=48 ttl=64 time=0.292 ms
1468 bytes from 169.254.234.92: icmp_seq=49 ttl=64 time=0.291 ms
1468 bytes from 169.254.234.92: icmp_seq=50 ttl=64 time=0.295 ms

--- 169.254.234.92 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9830ms
rtt min/avg/max/mdev = 0.180/0.290/0.339/0.032 ms, ipg/ewma 200.618/0.295 ms
